mnet_name,patch_size,pretraining_epochs,n_samples,theta_val,sigmaRui_sq,camelyon_test_loss,camelyon_test_loss_mse,camelyon_test_loss_kl,camelyon_test_mse_rec,camelyon_test_psnr_rec,camelyon_test_ssim_rec
mobilenetv3s,224,0,60000,0.4,0.05,23.202090909878414,35.136514912317196,5.300452746748924,0.0004941174830167559,26.317734049558638,0.972815912604332
mobilenetv3s,224,0,60000,0.3,0.05,7.53757948923111,8.544119902578492,5.188985287845135,8.760931448008098e-05,32.86088873974482,0.990996193682154
mobilenetv3s,224,0,60000,0.1,0.05,11.786063508311907,7.99417538591226,45.913057463645934,5.287521258325493e-05,36.663550449371336,0.9918872908949852
mobilenetv3s,224,0,60000,0.0,0.05,40.77690719692906,40.77690719692906,1.6202224685500066,0.00045535832012440854,25.596296872933706,0.9753560025691986
resnet18ft,224,0,60000,1.0,0.05,0.23415934171973882,10135.296442321778,0.23415934171973882,0.0583520582029596,5.818822085599105,0.25956641111460826
resnet18ft,224,0,60000,0.9,0.05,4.02823922269543,35.041111591657,0.5823644631988524,0.0006505043051486912,23.155364718914033,0.9767523907919725
resnet18ft,224,0,60000,0.8,0.05,5.912475788056851,24.737553825825454,1.2062061512526125,0.0004078240475282655,25.479811914920806,0.9840236429373423
resnet18ft,224,0,60000,0.7,0.05,7.767942281787594,21.55180001571278,1.8605743360382816,0.0003657629948565955,26.080858303229014,0.9836702874004841
resnet18ft,224,0,60000,0.6,0.05,14.252294841031233,26.346053023631374,6.1897888271808625,0.00030448837884280994,27.045523554801942,0.9839059830158949
resnet18ft,224,0,60000,0.5,0.05,9.825467190404733,16.11974419229229,3.531190171514948,0.0001541664399351248,30.447016392389934,0.9893065757403771
resnet18ft,224,0,60000,0.4,0.05,27.15009737857183,15.755566156595945,44.24189229615529,0.00010191035522120729,33.4394234102567,0.9907774954189856
resnet18ft,224,0,60000,0.3,0.05,15.337839841365815,19.496045347477,5.635360791226228,0.00017022431380701164,30.12269084103902,0.9888128753850858
resnet18ft,224,0,60000,0.2,0.05,11.73439279620846,12.728176090036829,7.759258665502071,0.00011256139276186635,33.42980796488126,0.9904441074877978
resnet18ft,224,0,60000,0.1,0.05,11.123290284186602,11.198869287535548,10.44308156812191,8.354589769021459e-05,35.51712854973475,0.991009330501159
resnet18ft,224,0,60000,0.0,0.05,14.316567067503929,14.316567067503929,39.224401084105175,9.53722057294802e-05,34.830035864671075,0.9904560761203368
mobilenetv3s,224,1,60000,0.4,0.05,8.574088435639938,11.671742674758036,3.927606320520242,8.784452320363319e-05,32.55781760136286,0.9910038410325845
mobilenetv3s,224,1,60000,0.3,0.05,8.429225644061964,9.826045377075673,5.169979750692844,0.00010423703675602762,31.680295169353485,0.9908537943114837
mobilenetv3s,224,1,60000,0.2,0.05,7.6673310568233335,7.979878378947576,6.417141125182311,5.477936506539057e-05,34.80737767426173,0.9919511596014102
mobilenetv3s,224,1,60000,0.1,0.05,7.891121319413185,7.781328686108192,8.879256742914517,5.883691224062204e-05,36.58151748180389,0.9921026473492384
mobilenetv3s,224,1,60000,0.0,0.05,10.677748664811254,10.677748664811254,14.935779684623082,7.513074469519172e-05,36.56245125881831,0.9910831459860007
